ds,power,current,power_factor,power_change_rate,rolling_avg_power,rolling_std_power,is_holiday,occupancy
2026-01-10 12:36:46.135623,128.0833,0.697333,0.766667,0.0,128.0833,0.0,1,1
2026-01-10 12:37:45.833779,128.4,0.700667,0.768333,0.3166999999999973,128.4,0.0,1,1
2026-01-10 12:38:45.893637,111.6167,0.603,0.776667,-16.78330000000001,111.6167,0.0,1,1
2026-01-10 12:39:46.356412,115.5167,0.619667,0.783333,3.9000000000000057,115.5167,0.0,1,1
2026-01-10 12:40:45.955483,110.7333,0.601667,0.778333,-4.7834,118.87,8.74309249579346,1,1
2026-01-10 12:41:45.964930,119.4167,0.641667,0.791667,8.683400000000006,117.13668,7.179113079761303,1,1
2026-01-10 12:42:45.972398,112.4833,0.608,0.781667,-6.933400000000006,113.95334,3.5454886359992424,1,1
2026-01-10 12:43:45.977399,111.4833,0.6015,0.78,-1.0,113.92666,3.5678989150478695,1,1
2026-01-10 12:44:46.188633,110.1,0.603,0.765,-1.3833000000000055,112.84331999999999,3.780429289379683,1,1
2026-01-10 12:45:45.914597,111.2,0.613833,0.775,1.1000000000000085,112.93666,3.720595949978951,1,1
2026-01-10 12:46:45.960611,109.5,0.609667,0.771667,-1.7000000000000028,110.95332,1.1750385810686301,1,1
2026-01-10 12:47:45.953608,112.2667,0.628,0.765,2.7667,110.91,1.1065269743660922,1,1
2026-01-10 12:48:46.216396,118.0167,0.660667,0.755,5.75,112.21668,3.4109037170520855,1,1
2026-01-10 12:49:46.225492,119.1833,0.672,0.75,1.1666000000000025,114.03334,4.303755595174949,1,1
2026-01-10 12:50:46.054628,121.75,0.685333,0.755,2.5666999999999973,116.14334000000001,5.083005382940257,1,1
2026-01-10 12:51:46.250007,117.1,0.652333,0.756667,-4.650000000000006,117.66333999999999,3.4848603591822136,1,1
2026-01-10 12:52:46.245539,111.8,0.633167,0.75,-5.299999999999997,117.57000000000001,3.6670314213270117,1,1
2026-01-10 12:53:46.054244,109.5333,0.618333,0.756667,-2.2667,115.87331999999999,5.093718402797668,1,1
2026-01-10 12:54:46.258726,105.0167,0.5995,0.746667,-4.516599999999997,113.04,6.529846624921574,1,1
2026-01-10 12:55:46.268354,98.98334,0.560833,0.745,-6.033360000000002,108.48666800000001,6.866895525353489,1,1
2026-01-10 12:56:46.273142,98.33334,0.558667,0.74,-0.6499999999999915,104.73333600000001,6.063829080018651,1,1
2026-01-10 12:57:46.160578,103.1667,0.573833,0.76,4.833359999999999,103.00667600000001,4.601356510213035,1,1
2026-01-10 12:58:46.167134,92.88333,0.517333,0.758333,-10.283370000000005,99.676682,4.720459197326042,1,1
2026-01-10 12:59:46.354247,94.89999,0.532833,0.753333,2.0166600000000017,97.65334,3.9674415595002888,1,1
2026-01-10 13:00:46.507149,92.05,0.511333,0.763333,-2.8499900000000054,96.266672,4.5545759560216075,1,1
2026-01-10 13:01:46.718345,85.69999,0.473833,0.766667,-6.3500099999999975,93.740002,6.293647471440566,1,1
2026-01-10 13:02:46.316178,81.95,0.4605,0.755,-3.749989999999997,89.496662,5.444075545441151,1,1
2026-01-10 13:03:46.226029,81.48333,0.461167,0.75,-0.4666700000000077,87.216662,6.027101371676975,1,1
2026-01-10 13:04:46.275200,72.83334,0.414833,0.745,-8.649989999999988,82.803332,6.995763323853276,1,1
2026-01-10 13:05:46.337259,70.78333,0.405167,0.743333,-2.0500100000000003,78.549998,6.408746880894184,1,1
2026-01-10 13:06:46.322512,67.93333,0.3905,0.741667,-2.8500000000000085,74.996666,6.3786471654365124,1,1
2026-01-10 13:07:46.353680,68.86666,0.399167,0.735,0.933329999999998,72.379998,5.425447478731266,1,1
2026-01-10 13:08:46.319236,79.65,0.461167,0.731667,10.78334000000001,72.01333199999999,4.665082453126795,1,1
2026-01-10 13:09:46.314046,89.16666,0.519167,0.726667,9.516659999999987,75.27999600000001,9.045174916618873,1,1
2026-01-10 13:10:46.577535,78.83334,0.459167,0.73,-10.333319999999986,76.88999799999999,8.756518619800975,1,1
2026-01-10 13:11:46.584710,75.18333,0.4415,0.725,-3.650010000000009,78.33999800000001,7.3973777001665315,1,1
2026-01-10 13:12:46.417841,81.10001,0.456,0.76,5.9166799999999995,80.78666799999999,5.167865862449501,1,1
2026-01-10 13:13:46.604556,62.31667,0.359667,0.743333,-18.783339999999995,77.320002,9.830911662825123,1,1
2026-01-10 13:14:46.606461,63.15,0.376333,0.718333,0.8333299999999966,72.11667,8.8269421076753,1,1
2026-01-10 13:15:46.917657,46.25,0.268333,0.74,-16.9,65.60000199999999,13.447079420620359,1,1
2026-01-10 13:16:46.836335,30.86667,0.169833,0.775,-15.38333,56.736670000000004,19.00701637115494,1,1
2026-01-10 13:17:46.727105,31.11667,0.171167,0.773333,0.25,46.740002000000004,15.87617628607948,1,1
2026-01-10 13:18:46.721806,28.95,0.162,0.761667,-2.16667,40.066668,14.65773299035948,1,1
2026-01-10 13:19:46.732837,35.35,0.187,0.805,6.400000000000002,34.506668000000005,6.968416004851676,1,1
2026-01-10 13:20:46.636184,34.43333,0.1835,0.803333,-0.9166700000000034,32.143333999999996,2.664961561117364,1,1
2026-01-10 13:21:46.630585,33.58334,0.179333,0.791667,-0.8499899999999982,32.686668,2.6160928702118116,1,1
2026-01-10 13:22:46.961841,33.05,0.177167,0.79,-0.5333400000000026,33.073334,2.4645147122066557,1,1
2026-01-10 13:23:46.975724,32.48333,0.174833,0.786667,-0.5666699999999949,33.78,1.1340930664425304,1,1
2026-01-10 13:24:46.983728,32.63334,0.175833,0.786667,0.15000999999999465,33.236668,0.7934968774185907,1,1
2026-01-10 13:25:46.893709,31.13333,0.170333,0.778333,-1.500009999999996,32.576668,0.9127677659038439,1,1
2026-01-10 13:26:46.998343,31.08333,0.169667,0.775,-0.05000000000000071,32.076666,0.9081904872509543,1,1
2026-01-10 13:27:46.909642,30.75,0.1685,0.773333,-0.3333300000000001,31.616666,0.8737710576193042,1,1
2026-01-10 13:28:46.760960,26.23334,0.151667,0.73,-4.516660000000002,30.366667999999997,2.4223191768371986,1,1
2026-01-10 13:29:46.976962,24.68333,0.146167,0.718333,-1.5500099999999968,28.776666,3.0819035450729713,1,1
2026-01-10 13:30:47.634266,24.13333,0.143833,0.716667,-0.5500000000000007,27.376666,3.324124766180332,1,1
2026-01-10 13:31:47.226677,22.83333,0.139167,0.698333,-1.3000000000000007,25.726666,3.0614239270531547,1,1
2026-01-10 13:32:47.038060,22.71667,0.139,0.7,-0.11665999999999954,24.12,1.4498775044132741,1,1
2026-01-10 13:33:47.034886,21.66667,0.134167,0.685,-1.0500000000000007,23.206666000000002,1.203152761158668,1,1
2026-01-10 13:34:47.163664,21.05,0.131833,0.675,-0.6166699999999992,22.479999999999997,1.1854071616553425,1,1
2026-01-10 13:35:47.675953,26.2,0.151167,0.73,5.149999999999999,22.893334000000003,1.991948511441434,1,1
2026-01-10 13:36:47.480017,27.55,0.1565,0.745,1.3500000000000014,23.836668,2.876759377611148,1,1
2026-01-10 13:37:47.269143,26.85,0.153667,0.738333,-0.6999999999999993,24.663334,3.0623466864128277,1,1
2026-01-10 13:38:47.289242,26.96667,0.154333,0.74,0.11666999999999916,25.723334,2.656088783866901,1,1
2026-01-10 13:39:47.294475,25.1,0.147667,0.723333,-1.8666699999999992,26.533334000000004,0.9337056697822405,1,1
2026-01-10 13:40:47.599486,24.1,0.143833,0.713333,-1.0,26.113334000000002,1.45045061197668,1,1
2026-01-10 13:41:47.306549,22.61667,0.1375,0.695,-1.4833300000000023,25.126668000000002,1.8513730625332065,1,1
2026-01-10 13:42:47.511383,26.65,0.153,0.74,4.033329999999999,25.086668,1.8064465164165762,1,1
2026-01-10 13:43:47.320068,26.1,0.150333,0.731667,-0.5499999999999972,24.913334,1.6120799383974713,1,1
2026-01-10 13:44:47.645107,25.58333,0.1485,0.726667,-0.5166700000000013,25.009999999999998,1.6403151966782448,1,1
2026-01-10 13:45:47.750869,25.53333,0.148667,0.728333,-0.05000000000000071,25.296666,1.5650417797086353,1,1
2026-01-10 13:46:47.450071,25.51666,0.1485,0.728333,-0.016669999999997742,25.876663999999998,0.49534167221579356,1,1
2026-01-10 13:47:47.968673,25.65,0.149167,0.728333,0.1333399999999969,25.676664,0.2422712781853248,1,1
2026-01-10 13:48:47.768598,20.8,0.131167,0.673333,-4.849999999999998,24.616664,2.134210620401279,1,1
2026-01-10 13:49:47.777678,20.21667,0.129333,0.66,-0.5833300000000001,23.543332,2.7787009564855443,1,1
2026-01-10 13:50:47.991036,18.01666,0.122167,0.625,-2.200009999999999,22.039998000000004,3.397376259707448,1,1
2026-01-10 13:51:48.190931,18.76667,0.123833,0.646667,0.7500099999999996,20.690000000000005,2.9867911850937707,1,1
2026-01-10 13:52:48.409705,18.13333,0.122333,0.628333,-0.6333400000000005,19.186666000000002,1.2568395128790113,1,1
2026-01-10 13:53:48.216196,17.76667,0.120833,0.62,-0.36665999999999954,18.580000000000002,0.9863957257632379,1,1
2026-01-10 13:54:48.421767,17.08333,0.118167,0.608333,-0.6833400000000012,17.953332,0.6102611326506212,1,1
2026-01-10 13:55:48.639258,17.5,0.119333,0.616667,0.4166699999999999,17.85,0.6398801754266373,1,1
2026-01-10 13:56:48.432307,17.55,0.119833,0.62,0.05000000000000071,17.606665999999997,0.3845274661633874,1,1
2026-01-10 13:57:48.450521,17.05,0.117667,0.61,-0.5,17.390000000000004,0.311940209742259,1,1
2026-01-10 13:58:48.861672,16.83333,0.117333,0.608333,-0.21667000000000058,17.203332,0.3094362885539661,1,1
2026-01-10 13:59:49.173299,17.58333,0.120333,0.615,0.75,17.303332,0.3402209821190465,1,1
2026-01-10 14:47:59.050873,23.98,0.194,0.514,6.39667,18.599332,3.0250677077834127,1,1
2026-01-10 14:48:58.650990,29.8,0.228333,0.556667,5.82,21.049332,5.721571124846206,1,1
2026-01-10 14:49:58.657674,22.71667,0.1825,0.516667,-7.08333,22.182666,5.27514536124208,1,1
2026-01-10 14:50:58.566416,25.08333,0.1975,0.541667,2.3666599999999995,23.832666,4.401550588398792,1,1
2026-01-10 14:51:58.529542,29.01666,0.224,0.56,3.9333300000000015,26.119332000000004,3.129296115035079,1,1
2026-01-10 14:52:59.088277,15.03333,0.132,0.458333,-13.983330000000002,24.329998,5.947354345049043,1,1
2026-01-10 14:53:59.095998,28.38333,0.220667,0.553333,13.350000000000001,24.046664,5.647815561496652,1,1
2026-01-10 14:54:58.798554,28.21667,0.221,0.55,-0.16666000000000025,25.146663999999998,5.855795173730352,1,1
2026-01-10 14:55:58.906868,28.43333,0.222167,0.551667,0.21666000000000096,25.816664000000003,6.035623635274457,1,1
2026-01-10 14:56:59.118061,28.5,0.224167,0.55,0.06666999999999845,25.713332,5.971221417023795,1,1
2026-01-10 14:57:59.329582,27.11667,0.215833,0.545,-1.3833300000000008,28.130000000000003,0.5760717306928796,1,1
2026-01-10 14:58:58.828051,26.96667,0.212833,0.546667,-0.14999999999999858,27.846668,0.7441790853843636,1,1
2026-01-10 14:59:59.139074,23.73333,0.1885,0.538333,-3.233340000000002,26.95,1.9350575285772698,1,1
2026-01-10 15:00:58.940962,19.7,0.16,0.526667,-4.033329999999999,25.203333999999998,3.538566520815129,1,1
2026-01-10 15:01:59.357755,19.26666,0.1555,0.526667,-0.4333399999999976,23.356666,3.788502014138808,1,1
2026-01-10 15:02:59.544365,19.75,0.156833,0.53,0.4833399999999983,21.883332000000003,3.3700086877594098,1,1
2026-01-10 15:03:59.372260,19.65,0.155333,0.533333,-0.10000000000000142,20.419998,1.8620250296717251,1,1
2026-01-10 15:04:59.174562,18.31667,0.1495,0.515,-1.3333300000000001,19.336666,0.6013167773179617,1,1
2026-01-10 15:05:59.182450,16.8,0.1405,0.51,-1.5166699999999977,18.756666000000003,1.2315630583466273,1,1
2026-01-10 15:06:59.189432,15.5,0.132833,0.498333,-1.3000000000000007,18.003334000000002,1.8422285628510238,1,1
2026-01-10 15:07:59.402955,14.5,0.1275,0.488333,-1.0,16.953334,2.0787755597428546,1,1
2026-01-10 15:08:59.108441,12.21667,0.114167,0.453333,-2.2833299999999994,15.466667999999999,2.312916485019363,1,1
2026-01-10 15:09:59.415671,12.8,0.116333,0.471667,0.5833300000000001,14.363334,1.8907807852272054,1,1
2026-01-10 15:10:59.422869,13.2,0.118833,0.473333,0.3999999999999986,13.643334,1.3345610431091042,1,1
2026-01-10 15:11:59.085204,10.21667,0.102,0.421667,-2.9833299999999987,12.586668,1.5681450081783055,1,1
2026-01-10 15:12:59.847368,10.38333,0.101833,0.431667,0.16666000000000025,11.763334,1.382098014698885,1,1
2026-01-10 15:13:59.649285,10.41667,0.101667,0.435,0.03333999999999904,11.403334000000001,1.4663534779290517,1,1
2026-01-10 15:14:59.759875,10.2,0.101,0.425,-0.21667000000000058,10.883334000000001,1.2986634368590901,1,1
2026-01-10 15:15:59.457974,9.483334,0.098167,0.41,-0.716666,10.1400008,0.3796196459193346,1,1
2026-01-10 15:16:59.670738,10.03333,0.101667,0.418333,0.5499960000000002,10.1033328,0.37921698422397127,1,1
2026-01-10 15:18:00.087561,10.26667,0.102667,0.423333,0.2333400000000001,10.080000799999999,0.3608257135625525,1,1
2026-01-10 15:18:59.256086,9.400001,0.0975,0.41,-0.8666689999999999,9.876667000000001,0.40715819681389165,1,1
2026-01-10 15:19:59.692052,8.400001,0.092167,0.386667,-1.0,9.516667199999999,0.7230335669244311,1,1
2026-01-10 15:20:59.699887,8.233334,0.090333,0.388333,-0.16666700000000034,9.266667199999999,0.9252625513331253,1,1
2026-01-10 15:21:59.707416,8.033334,0.088333,0.388333,-0.1999999999999993,8.866668,0.9431046189200399,1,1
2026-01-10 15:23:00.123656,7.966667,0.088333,0.385,-0.06666699999999981,8.4066674,0.5808998900216346,1,1
2026-01-10 15:29:29.248786,6.5,0.084667,0.33,-1.4666670000000002,7.8266672,0.7609938406850536,1,1
2026-01-10 15:29:41.331145,6.95,0.087167,0.338333,0.4500000000000002,7.536667,0.7641628843995955,1,1
2026-01-10 15:29:59.967566,6.266666,0.083,0.321667,-0.6833340000000003,7.1433334,0.8200275425622839,1,1
2026-01-10 15:30:05.292730,6.75,0.085667,0.338333,0.48333400000000015,6.8866666,0.6563157675020133,1,1
2026-01-10 15:30:18.810560,7.283333,0.085,0.366667,0.5333329999999998,6.7499998,0.3938768349575362,1,1
2026-01-10 15:30:59.975083,2.033333,0.063333,0.138333,-5.25,5.8566664,2.168800292149402,1,0
2026-01-10 15:31:17.281231,7.2,0.085,0.363333,5.166667,5.9066664,2.2029211078082955,1,1
2026-01-10 15:31:59.776836,2.266667,0.064333,0.148333,-4.933333,5.1066666,2.707925550532619,1,0
2026-01-10 15:32:17.288463,6.916667,0.085167,0.346667,4.65,5.140000000000001,2.7341106577631575,1,1
2026-01-10 15:33:00.194189,1.95,0.063,0.133333,-4.966667,4.073333400000001,2.729229736982115,1,0
2026-01-10 15:34:00.201581,1.833333,0.062667,0.126667,-0.11666699999999985,4.0333334,2.767796054124557,1,0
2026-01-10 15:35:00.414098,1.85,0.063167,0.125,0.016666999999999987,2.9633334000000002,2.2168359980448593,1,0
