ds,value
2026-01-10 12:36:46.135623,128.0833
2026-01-10 12:37:45.833779,128.4
2026-01-10 12:38:45.893637,111.6167
2026-01-10 12:39:46.356412,115.5167
2026-01-10 12:40:45.955483,110.7333
2026-01-10 12:41:45.964930,119.4167
2026-01-10 12:42:45.972398,112.4833
2026-01-10 12:43:45.977399,111.4833
2026-01-10 12:44:46.188633,110.1
2026-01-10 12:45:45.914597,111.2
2026-01-10 12:46:45.960611,109.5
2026-01-10 12:47:45.953608,112.2667
2026-01-10 12:48:46.216396,118.0167
2026-01-10 12:49:46.225492,119.1833
2026-01-10 12:50:46.054628,121.75
2026-01-10 12:51:46.250007,117.1
2026-01-10 12:52:46.245539,111.8
2026-01-10 12:53:46.054244,109.5333
2026-01-10 12:54:46.258726,105.0167
2026-01-10 12:55:46.268354,98.98334
2026-01-10 12:56:46.273142,98.33334
2026-01-10 12:57:46.160578,103.1667
2026-01-10 12:58:46.167134,92.88333
2026-01-10 12:59:46.354247,94.89999
2026-01-10 13:00:46.507149,92.05
2026-01-10 13:01:46.718345,85.69999
2026-01-10 13:02:46.316178,81.95
2026-01-10 13:03:46.226029,81.48333
2026-01-10 13:04:46.275200,72.83334
2026-01-10 13:05:46.337259,70.78333
2026-01-10 13:06:46.322512,67.93333
2026-01-10 13:07:46.353680,68.86666
2026-01-10 13:08:46.319236,79.65
2026-01-10 13:09:46.314046,89.16666
2026-01-10 13:10:46.577535,78.83334
2026-01-10 13:11:46.584710,75.18333
2026-01-10 13:12:46.417841,81.10001
2026-01-10 13:13:46.604556,62.31667
2026-01-10 13:14:46.606461,63.15
2026-01-10 13:15:46.917657,46.25
2026-01-10 13:16:46.836335,30.86667
2026-01-10 13:17:46.727105,31.11667
2026-01-10 13:18:46.721806,28.95
2026-01-10 13:19:46.732837,35.35
2026-01-10 13:20:46.636184,34.43333
2026-01-10 13:21:46.630585,33.58334
2026-01-10 13:22:46.961841,33.05
2026-01-10 13:23:46.975724,32.48333
2026-01-10 13:24:46.983728,32.63334
2026-01-10 13:25:46.893709,31.13333
2026-01-10 13:26:46.998343,31.08333
2026-01-10 13:27:46.909642,30.75
2026-01-10 13:28:46.760960,26.23334
2026-01-10 13:29:46.976962,24.68333
2026-01-10 13:30:47.634266,24.13333
2026-01-10 13:31:47.226677,22.83333
2026-01-10 13:32:47.038060,22.71667
2026-01-10 13:33:47.034886,21.66667
2026-01-10 13:34:47.163664,21.05
2026-01-10 13:35:47.675953,26.2
2026-01-10 13:36:47.480017,27.55
2026-01-10 13:37:47.269143,26.85
2026-01-10 13:38:47.289242,26.96667
2026-01-10 13:39:47.294475,25.1
2026-01-10 13:40:47.599486,24.1
2026-01-10 13:41:47.306549,22.61667
2026-01-10 13:42:47.511383,26.65
2026-01-10 13:43:47.320068,26.1
2026-01-10 13:44:47.645107,25.58333
2026-01-10 13:45:47.750869,25.53333
2026-01-10 13:46:47.450071,25.51666
2026-01-10 13:47:47.968673,25.65
2026-01-10 13:48:47.768598,20.8
2026-01-10 13:49:47.777678,20.21667
2026-01-10 13:50:47.991036,18.01666
2026-01-10 13:51:48.190931,18.76667
2026-01-10 13:52:48.409705,18.13333
2026-01-10 13:53:48.216196,17.76667
2026-01-10 13:54:48.421767,17.08333
2026-01-10 13:55:48.639258,17.5
2026-01-10 13:56:48.432307,17.55
2026-01-10 13:57:48.450521,17.05
2026-01-10 13:58:48.861672,16.83333
2026-01-10 13:59:49.173299,17.58333
2026-01-10 14:47:59.050873,23.98
2026-01-10 14:48:58.650990,29.8
2026-01-10 14:49:58.657674,22.71667
2026-01-10 14:50:58.566416,25.08333
2026-01-10 14:51:58.529542,29.01666
2026-01-10 14:52:59.088277,15.03333
2026-01-10 14:53:59.095998,28.38333
2026-01-10 14:54:58.798554,28.21667
2026-01-10 14:55:58.906868,28.43333
2026-01-10 14:56:59.118061,28.5
2026-01-10 14:57:59.329582,27.11667
2026-01-10 14:58:58.828051,26.96667
2026-01-10 14:59:59.139074,23.73333
2026-01-10 15:00:58.940962,19.7
2026-01-10 15:01:59.357755,19.26666
2026-01-10 15:02:59.544365,19.75
2026-01-10 15:03:59.372260,19.65
2026-01-10 15:04:59.174562,18.31667
2026-01-10 15:05:59.182450,16.8
2026-01-10 15:06:59.189432,15.5
2026-01-10 15:07:59.402955,14.5
2026-01-10 15:08:59.108441,12.21667
2026-01-10 15:09:59.415671,12.8
2026-01-10 15:10:59.422869,13.2
2026-01-10 15:11:59.085204,10.21667
2026-01-10 15:12:59.847368,10.38333
2026-01-10 15:13:59.649285,10.41667
2026-01-10 15:14:59.759875,10.2
2026-01-10 15:15:59.457974,9.483334
2026-01-10 15:16:59.670738,10.03333
2026-01-10 15:18:00.087561,10.26667
2026-01-10 15:18:59.256086,9.400001
2026-01-10 15:19:59.692052,8.400001
2026-01-10 15:20:59.699887,8.233334
2026-01-10 15:21:59.707416,8.033334
2026-01-10 15:23:00.123656,7.966667
2026-01-10 15:29:29.248786,6.5
2026-01-10 15:29:41.331145,6.95
2026-01-10 15:29:59.967566,6.266666
2026-01-10 15:30:05.292730,6.75
2026-01-10 15:30:18.810560,7.283333
2026-01-10 15:30:59.975083,2.033333
2026-01-10 15:31:17.281231,7.2
2026-01-10 15:31:59.776836,2.266667
2026-01-10 15:32:17.288463,6.916667
2026-01-10 15:33:00.194189,1.95
2026-01-10 15:34:00.201581,1.833333
2026-01-10 15:35:00.414098,1.85
2026-01-10 15:36:00.216090,1.833333
2026-01-10 15:37:00.428857,1.65
2026-01-10 15:38:00.639689,2.316667
2026-01-10 15:39:03.424649,1.833333
2026-01-10 15:40:00.859975,1.883333
2026-01-10 15:41:00.662247,2.3
2026-01-10 15:42:00.873254,2.483333
2026-01-12 14:53:55.934470,146.6333
2026-01-12 14:54:55.789438,169.4833
2026-01-12 14:55:55.734053,185.6333
2026-01-12 14:56:56.108786,182.6667
2026-01-12 14:57:55.960326,178.95
2026-01-12 14:58:55.923344,169.4667
