id,ds,device_id,value,voltage,current,power,energy,frequency,power_factor
4063,2026-01-10 12:36:46.135623,ESP32-CS-C201,128.0833,238.6333,0.697333,128.0833,0.246167,49.88333,0.766667
4064,2026-01-10 12:37:45.833779,ESP32-CS-C201,128.4,238.7,0.700667,128.4,0.2485,49.9,0.768333
4065,2026-01-10 12:38:45.893637,ESP32-CS-C201,111.6167,238.5,0.603,111.6167,0.2505,49.9,0.776667
4066,2026-01-10 12:39:46.356412,ESP32-CS-C201,115.5167,237.2333,0.619667,115.5167,0.2525,49.86666,0.783333
4067,2026-01-10 12:40:45.955483,ESP32-CS-C201,110.7333,236.5,0.601667,110.7333,0.254167,49.81667,0.778333
4068,2026-01-10 12:41:45.96493,ESP32-CS-C201,119.4167,234.75,0.641667,119.4167,0.256167,49.8,0.791667
4069,2026-01-10 12:42:45.972398,ESP32-CS-C201,112.4833,237.1,0.608,112.4833,0.258167,49.81667,0.781667
4070,2026-01-10 12:43:45.977399,ESP32-CS-C201,111.4833,237.7833,0.6015,111.4833,0.259833,49.8,0.78
4071,2026-01-10 12:44:46.188633,ESP32-CS-C201,110.1,237.75,0.603,110.1,0.261833,49.8,0.765
4072,2026-01-10 12:45:45.914597,ESP32-CS-C201,111.2,234.0333,0.613833,111.2,0.263667,49.8,0.775
4073,2026-01-10 12:46:45.960611,ESP32-CS-C201,109.5,232.7667,0.609667,109.5,0.2655,49.8,0.771667
4074,2026-01-10 12:47:45.953608,ESP32-CS-C201,112.2667,233.9167,0.628,112.2667,0.2675,49.8,0.765
4075,2026-01-10 12:48:46.216396,ESP32-CS-C201,118.0167,236.1167,0.660667,118.0167,0.2695,49.75,0.755
4076,2026-01-10 12:49:46.225492,ESP32-CS-C201,119.1833,235.85,0.672,119.1833,0.271333,49.76667,0.75
4077,2026-01-10 12:50:46.054628,ESP32-CS-C201,121.75,235.0667,0.685333,121.75,0.273333,49.75,0.755
4078,2026-01-10 12:51:46.250007,ESP32-CS-C201,117.1,237.5167,0.652333,117.1,0.275167,49.78334,0.756667
4079,2026-01-10 12:52:46.245539,ESP32-CS-C201,111.8,235.85,0.633167,111.8,0.277167,49.76667,0.75
4080,2026-01-10 12:53:46.054244,ESP32-CS-C201,109.5333,233.6333,0.618333,109.5333,0.279,49.8,0.756667
4081,2026-01-10 12:54:46.258726,ESP32-CS-C201,105.0167,234.8333,0.5995,105.0167,0.280833,49.8,0.746667
4082,2026-01-10 12:55:46.268354,ESP32-CS-C201,98.98334,237.2833,0.560833,98.98334,0.2825,49.86667,0.745
4083,2026-01-10 12:56:46.273142,ESP32-CS-C201,98.33334,237.2167,0.558667,98.33334,0.284167,49.9,0.74
4084,2026-01-10 12:57:46.160578,ESP32-CS-C201,103.1667,236.65,0.573833,103.1667,0.285833,49.91667,0.76
4085,2026-01-10 12:58:46.167134,ESP32-CS-C201,92.88333,237.1,0.517333,92.88333,0.2875,49.93333,0.758333
4086,2026-01-10 12:59:46.354247,ESP32-CS-C201,94.89999,236.4167,0.532833,94.89999,0.289,49.96666,0.753333
4087,2026-01-10 13:00:46.507149,ESP32-CS-C201,92.05,235.6,0.511333,92.05,0.2905,50,0.763333
4088,2026-01-10 13:01:46.718345,ESP32-CS-C201,85.69999,236,0.473833,85.69999,0.292,50,0.766667
4089,2026-01-10 13:02:46.316178,ESP32-CS-C201,81.95,235.7167,0.4605,81.95,0.2935,50,0.755
4090,2026-01-10 13:03:46.226029,ESP32-CS-C201,81.48333,235.35,0.461167,81.48333,0.294833,50,0.75
4091,2026-01-10 13:04:46.2752,ESP32-CS-C201,72.83334,235.4333,0.414833,72.83334,0.296167,50.01667,0.745
4092,2026-01-10 13:05:46.337259,ESP32-CS-C201,70.78333,235.35,0.405167,70.78333,0.2975,50.01667,0.743333
4093,2026-01-10 13:06:46.322512,ESP32-CS-C201,67.93333,234.7,0.3905,67.93333,0.2985,50,0.741667
4094,2026-01-10 13:07:46.35368,ESP32-CS-C201,68.86666,235.0333,0.399167,68.86666,0.299667,50,0.735
4095,2026-01-10 13:08:46.319236,ESP32-CS-C201,79.65,235.8667,0.461167,79.65,0.301,50,0.731667
4096,2026-01-10 13:09:46.314046,ESP32-CS-C201,89.16666,235.55,0.519167,89.16666,0.3025,49.91667,0.726667
4097,2026-01-10 13:10:46.577535,ESP32-CS-C201,78.83334,235,0.459167,78.83334,0.303833,49.9,0.73
4098,2026-01-10 13:11:46.58471,ESP32-CS-C201,75.18333,234.5333,0.4415,75.18333,0.305333,49.9,0.725
4099,2026-01-10 13:12:46.417841,ESP32-CS-C201,81.10001,233.8,0.456,81.10001,0.3065,49.9,0.76
4100,2026-01-10 13:13:46.604556,ESP32-CS-C201,62.31667,234.0167,0.359667,62.31667,0.307667,49.9,0.743333
4101,2026-01-10 13:14:46.606461,ESP32-CS-C201,63.15,234.0167,0.376333,63.15,0.308667,49.91667,0.718333
4102,2026-01-10 13:15:46.917657,ESP32-CS-C201,46.25,234.1167,0.268333,46.25,0.309667,49.91667,0.74
4103,2026-01-10 13:16:46.836335,ESP32-CS-C201,30.86667,234.2667,0.169833,30.86667,0.31,49.9,0.775
4104,2026-01-10 13:17:46.727105,ESP32-CS-C201,31.11667,234.5167,0.171167,31.11667,0.311,49.9,0.773333
4105,2026-01-10 13:18:46.721806,ESP32-CS-C201,28.95,234.7167,0.162,28.95,0.311,49.9,0.761667
